file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM,float,32,1,1024,-,144528,145671,31011132
0_UNIFORM,float,32,1,1024,w,145027,147993,31273276
0_UNIFORM,float,32,1,1024,W,144960,147952,31273276
0_UNIFORM,float,32,1,1024,h,144820,147791,31273276
0_UNIFORM,float,32,1,1024,H,144817,147761,31273276
0_UNIFORM,float,32,2,1024,-,147196,148352,31011132
0_UNIFORM,float,32,2,1024,w,147291,150274,31273276
0_UNIFORM,float,32,2,1024,W,147043,150000,31273276
0_UNIFORM,float,32,2,1024,h,147373,150332,31273276
0_UNIFORM,float,32,2,1024,H,147103,150087,31273276
0_UNIFORM,float,32,3,1024,-,149033,150257,31023616
0_UNIFORM,float,32,3,1024,w,149001,152193,31285760
0_UNIFORM,float,32,3,1024,W,149299,152444,31285760
0_UNIFORM,float,32,3,1024,h,149465,152512,31285760
0_UNIFORM,float,32,3,1024,H,149091,152129,31285760
0_UNIFORM,double,32,1,1024,-,437848,438945,61157752
0_UNIFORM,double,32,1,1024,w,437952,444935,61419896
0_UNIFORM,double,32,1,1024,W,438617,445562,61419896
0_UNIFORM,double,32,1,1024,h,438331,445391,61419896
0_UNIFORM,double,32,1,1024,H,437617,444544,61419896
0_UNIFORM,double,32,2,1024,-,438556,439637,61157752
0_UNIFORM,double,32,2,1024,w,437277,444234,61419896
0_UNIFORM,double,32,2,1024,W,439098,446116,61419896
0_UNIFORM,double,32,2,1024,h,437355,444338,61419896
0_UNIFORM,double,32,2,1024,H,437747,444705,61419896
0_UNIFORM,double,32,3,1024,-,441747,443096,61170236
0_UNIFORM,double,32,3,1024,w,442146,449582,61432380
0_UNIFORM,double,32,3,1024,W,441588,448871,61432380
0_UNIFORM,double,32,3,1024,h,442071,449420,61432380
0_UNIFORM,double,32,3,1024,H,441603,448901,61432380
1_RAND,float,32,1,1024,-,8149810,8151753,317339432
1_RAND,float,32,1,1024,w,6795100,6798940,317599160
1_RAND,float,32,1,1024,W,6841047,6844862,317599160
1_RAND,float,32,1,1024,h,6830997,6834812,317599148
1_RAND,float,32,1,1024,H,6812765,6816538,317599148
1_RAND,float,32,2,1024,-,8337895,8339995,317339432
1_RAND,float,32,2,1024,w,6891956,6895704,317599160
1_RAND,float,32,2,1024,W,6940580,6944351,317599160
1_RAND,float,32,2,1024,h,6924392,6928636,317599148
1_RAND,float,32,2,1024,H,6914210,6918573,317599148
1_RAND,float,32,3,1024,-,7277225,7279173,246842120
1_RAND,float,32,3,1024,w,4914280,4918537,169751992
1_RAND,float,32,3,1024,W,4928712,4932888,169828408
1_RAND,float,32,3,1024,h,4840569,4844353,161772064
1_RAND,float,32,3,1024,H,4839399,4843032,161772352
1_RAND,double,32,1,1024,-,14031861,14034277,633747296
1_RAND,double,32,1,1024,w,12299810,12308267,634007024
1_RAND,double,32,1,1024,W,12458132,12466494,634007024
1_RAND,double,32,1,1024,h,12329162,12337500,634007016
1_RAND,double,32,1,1024,H,12343031,12351311,634007016
1_RAND,double,32,2,1024,-,14133241,14135610,633747296
1_RAND,double,32,2,1024,w,12353764,12362095,634007024
1_RAND,double,32,2,1024,W,12518740,12526968,634007024
1_RAND,double,32,2,1024,h,12379070,12387488,634007016
1_RAND,double,32,2,1024,H,12394474,12402759,634007016
1_RAND,double,32,3,1024,-,13192441,13194514,492691372
1_RAND,double,32,3,1024,w,10366083,10374136,337721772
1_RAND,double,32,3,1024,W,10467353,10475216,339242412
1_RAND,double,32,3,1024,h,10337132,10344947,322275740
1_RAND,double,32,3,1024,H,10362869,10370977,322276124
2_RANDCONSTHEIGHT,float,32,1,1024,-,776332,778179,31077612
2_RANDCONSTHEIGHT,float,32,1,1024,w,739670,743505,31337548
2_RANDCONSTHEIGHT,float,32,1,1024,W,739646,743096,31337548
2_RANDCONSTHEIGHT,float,32,1,1024,h,739567,742938,31337548
2_RANDCONSTHEIGHT,float,32,1,1024,H,739560,742956,31337548
2_RANDCONSTHEIGHT,float,32,2,1024,-,793364,794905,31077612
2_RANDCONSTHEIGHT,float,32,2,1024,w,754963,758342,31337548
2_RANDCONSTHEIGHT,float,32,2,1024,W,755080,758467,31337548
2_RANDCONSTHEIGHT,float,32,2,1024,h,754960,758430,31337548
2_RANDCONSTHEIGHT,float,32,2,1024,H,755541,758978,31337548
2_RANDCONSTHEIGHT,float,32,3,1024,-,788944,790609,31156576
2_RANDCONSTHEIGHT,float,32,3,1024,w,746953,750483,31414304
